State,Officers Assulted in 2015,# Of Reporting Agencies,# Of Officers,Population,Violent Crime,Violent Crime/Population,Homicide,Homicide/Population,Rape (Legacy),Rape (Legacy)/Population,Rape (Revised),Rape (Revised)/Population,Robbery,Robbery/Population,Aggravated Assault,Aggravated Assault/Population,Property Crime,Property Crime/Population,Burglary,Burglary/Population,Larceny,Larceny/Population,Motor Vehicle Theft,Motor Vehicle Theft/Population,Male Officer Count,Male Civilian Count,Male Total Count,Female Officer Count,Female Civilian Count,Female Total Count,Civilian Count,Total Person Count,Person Count Per 1000,Officer Count,Officer/Population,Total Education Expenditure,Total Corrections Expenditure,Police/Fire Expenditure
Alabama,0,94,4858,743350,5391,0.007252304,59,7.93704E-05,648,0.000871729,900,0.001210735,761,0.001023744,3671,0.004938454,20806,0.027989507,3511,0.004723212,15249,0.02051389,2046,0.002752405,1200,235,1435,116,456,572,691,2007,2.7,1316,0.001770364,2784.09,146.18,347.07
Alaska,0,0,0,5295404,22957,0.004335269,348,6.57174E-05,1449,0.000273634,2037,0.000384673,4612,0.000870944,15960,0.003013934,144785,0.027341634,35265,0.006659549,99182,0.018729827,10338,0.001952259,11616,2298,13914,905,3908,4813,6206,18727,3.54,12521,0.002364503,4375.64,356.44,570.66
Arizona,6,91,12260,3131415,15769,0.005035743,189,6.03561E-05,1425,0.000455066,2008,0.000641244,2117,0.000676052,11455,0.003658091,97391,0.031101275,22851,0.00729734,68720,0.021945351,5820,0.001858585,6310,1593,7903,544,2452,2996,4045,10899,3.48,6854,0.002188787,2435.91,155.01,249.24
Arkansas,0,256,5327,6885540,27968,0.004061846,306,4.4441E-05,2268,0.000329386,3109,0.000451526,6360,0.000923675,18193,0.002642204,207184,0.030089724,38010,0.005520264,152388,0.022131598,16786,0.002437863,11826,4774,16600,1420,5411,6831,10185,23431,3.4,13246,0.001923742,2160.46,247.44,479.71
California,13,683,76351,39469712,166883,0.004228128,1861,4.71501E-05,9341,0.000236662,12811,0.000324578,52862,0.001339305,99349,0.002517095,1024914,0.025967101,197404,0.005001405,656517,0.016633438,170993,0.004332259,68706,15295,84001,10167,26162,36329,41457,120330,3.05,78873,0.001998317,2839.56,366.61,600.63
Colorado,5,220,11696,5831521,17348,0.002974867,173,2.96664E-05,2422,0.000415329,3328,0.000570692,3315,0.000568462,10532,0.001806047,144044,0.024700931,23490,0.004028109,104532,0.017925341,16022,0.002747482,11814,2410,14224,1701,4206,5907,6616,20131,3.45,13515,0.002317577,2553.72,218.17,425.38
Connecticut,1,102,7741,3703110,7938,0.002143604,116,3.1325E-05,585,0.000157975,798,0.000215495,2925,0.000789877,4099,0.001106907,65610,0.01771754,10286,0.002777665,48898,0.013204577,6426,0.001735298,7199,738,7937,782,1051,1833,1789,9770,2.64,7981,0.002155215,3176.26,202.43,429.37
Delaware,0,56,2239,672228,8538,0.012701048,162,0.00024099,365,0.000542971,494,0.00073487,3746,0.005572514,4136,0.006152674,31444,0.046775796,2971,0.004419631,25208,0.037499182,3265,0.004856983,3938,442,4380,947,418,1365,860,5745,8.55,4885,0.00726688,3773.98,400.74,1346.91
District of Columbia,0,1,3826,962461,4760,0.004945655,62,6.44182E-05,257,0.000267024,361,0.00037508,1240,0.001288364,3097,0.003217793,25545,0.026541335,4797,0.004984098,19555,0.020317706,1193,0.001239531,2550,524,3074,297,801,1098,1325,4172,4.33,2847,0.002958042,3285.76,317.33,364.87
Florida,0,271,36264,20388277,93625,0.0045921,1041,5.10588E-05,5396,0.000264662,7552,0.000370409,21137,0.001036723,63895,0.003133909,570270,0.027970485,109268,0.005359354,420341,0.020616799,40661,0.001994332,42193,9820,52013,6937,17711,24648,27531,76661,3.76,49130,0.002409718,2242.18,240.38,548.19
Georgia,3,322,18870,10812277,38891,0.00359693,622,5.75272E-05,2343,0.000216698,3257,0.000301232,12545,0.001160255,22467,0.002077916,316013,0.029227239,68149,0.006302928,220715,0.020413369,27149,0.002510942,32796,5843,38639,6586,9761,16347,15604,54986,5.09,39382,0.003642341,2194.9,223.38,342.47
Hawaii,1,2,2361,1556738,4201,0.002698592,19,1.2205E-05,561,0.000360369,400,0.000256948,1203,0.00077277,2418,0.001553248,54346,0.034910178,6557,0.004212013,42010,0.026985915,5779,0.00371225,3066,300,3078,294,630,924,930,4002,2.57,3360,0.002158359,2464.67,162.61,381.02
Idaho,0,102,2692,3755941,8619,0.002294764,73,1.94359E-05,877,0.000233497,1205,0.000320825,1050,0.000279557,6291,0.001674946,64688,0.017222848,14977,0.003987549,45328,0.012068347,4383,0.001166951,5548,1279,6827,451,2088,2539,3367,9366,2.49,5999,0.001597203,2495.66,131.84,271.88
Illinois,0,1,280,1732511,3593,0.002073869,32,1.84703E-05,508,0.000293216,703,0.000405769,191,0.000110245,2667,0.001539384,28912,0.016687917,6124,0.003534754,20916,0.012072651,1872,0.001080513,2951,370,3321,225,1365,1590,1735,4911,2.83,3176,0.001833177,1823.72,188.63,301.95
